cell	HRD	HR_proficient	HRD_score_sc	sample
BC05_07	BC05_07	-0.0571114634700428	0.057111463470042	-0.114222926940085	BC05
BC05_08	BC05_08	-0.118711474688239	0.11871147468824	-0.237422949376479	BC05
BC05_09	BC05_09	-0.149611374558149	0.149611374558149	-0.299222749116299	BC05
BC05_12	BC05_12	-0.0914278632669915	0.0914278632669912	-0.182855726533983	BC05
BC05_13	BC05_13	0.0129594657364478	-0.0129594657364482	0.0259189314728961	BC05
BC05_16	BC05_16	0.000601934026171755	-0.000601934026172302	0.00120386805234406	BC05
BC05_17	BC05_17	0.0904382056214032	-0.0904382056214022	0.180876411242805	BC05
BC05_18	BC05_18	-0.134248384720417	0.134248384720418	-0.268496769440835	BC05
BC05_20	BC05_20	-0.0206988067302043	0.0206988067302041	-0.0413976134604084	BC05
BC05_21	BC05_21	-0.0572219519226721	0.057221951922672	-0.114443903845344	BC05
BC05_22	BC05_22	0.122354995548663	-0.122354995548663	0.244709991097326	BC05
BC05_23	BC05_23	-0.095866294393631	0.0958662943936319	-0.191732588787263	BC05
BC05_25	BC05_25	0.0536528271756952	-0.0536528271756951	0.10730565435139	BC05
BC05_26	BC05_26	-0.128990007645162	0.128990007645162	-0.257980015290323	BC05
BC05_27	BC05_27	-0.000797494351996003	0.000797494351995971	-0.00159498870399197	BC05
BC05_28	BC05_28	-0.0681929936507268	0.0681929936507267	-0.136385987301454	BC05
BC05_29	BC05_29	-0.0438475978142639	0.0438475978142635	-0.0876951956285274	BC05
BC05_30	BC05_30	-0.0388639658357577	0.0388639658357582	-0.0777279316715159	BC05
BC05_31	BC05_31	-0.143404092155147	0.143404092155147	-0.286808184310294	BC05
BC05_32	BC05_32	-0.0410177554623318	0.041017755462332	-0.0820355109246638	BC05
BC05_33	BC05_33	-0.1032523087527	0.1032523087527	-0.2065046175054	BC05
BC05_34	BC05_34	-0.0153420206529917	0.0153420206529918	-0.0306840413059835	BC05
BC05_35	BC05_35	0.0818057236640102	-0.0818057236640101	0.16361144732802	BC05
BC05_36	BC05_36	-0.0166506508148933	0.0166506508148933	-0.0333013016297866	BC05
BC05_37	BC05_37	-0.0569584469985121	0.056958446998512	-0.113916893997024	BC05
BC05_38	BC05_38	-0.0712813522403355	0.0712813522403356	-0.142562704480671	BC05
BC05_39	BC05_39	-0.0538206359076072	0.0538206359076069	-0.107641271815214	BC05
BC05_41	BC05_41	-0.00152256841462084	0.00152256841462052	-0.00304513682924136	BC05
BC05_42	BC05_42	-0.123675885643072	0.123675885643071	-0.247351771286143	BC05
BC05_43	BC05_43	-0.132279213553121	0.13227921355312	-0.264558427106241	BC05
BC05_44	BC05_44	0.105668183407222	-0.105668183407222	0.211336366814443	BC05
BC05_45	BC05_45	-0.11107600213046	0.111076002130459	-0.222152004260919	BC05
BC05_46	BC05_46	0.00303701919170091	-0.00303701919170179	0.0060740383834027	BC05
BC05_47	BC05_47	-0.0458422760385755	0.045842276038575	-0.0916845520771505	BC05
